,price,artist,title,yearCreation,signed,condition,period,movement
412,3000,Kim Gottlieb Walker,Andy Warhol Smiling (Unusual),1970,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
410,3000,Kim Gottlieb Walker,"Carol King and James Taylor, London ",1971,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
121,3000,John Fischer,Triangle #NY.6,1972,Signed on the verso in paint and pen,Occasional nicks and edge wear.,Post-War,Expressionism
123,3000,John Fischer,Triangle #NY,1972,[nan],Occasional nicks to edges.,Post-War,Abstract
409,3000,Kim Gottlieb Walker,Bob Marley,1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
438,3000,Ruth Bernhard,Teapot,1976,"Signed in pencil on the mount, signed, titled, and dated in pencil on the reverse.","This print, with a semi-glossy surface, is in generally excellent condition. The reverse of the mount is abraded in a small area in the upper right corner.",Post-War,Surrealism
172,3000,Richard Bernstein,Ruby,1977,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art
178,3000,Richard Bernstein,Diamond,1977,"Signed, titled, numbered and dated on the front in pencil",The work is in excellent condition.,Contemporary,Pop Art
127,3000,John Fischer,Triangle #G.10,1984,Signed in paint verso ,"Occasional nicks, scratches and edge wear.More noticeable gouge to left edge.Sides are wrapped with adhesive paper, small string attached at edge.",Post-War,Abstract
335,3000,Mike Bidlo,"Not Warhol, Marilyn",1984,[nan],This work is in very good condition.No obvious signs of wear.,Contemporary,Pop Art
155,3000,Donald Sultan,"Fruit and Flowers, Yellow Roses",1992,"Numbered on bottom right.Titled, dated and initialed along left side.",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Expressionism
157,3000,Donald Sultan,"Fruit and Flowers, Roses",1992,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
158,3000,Donald Sultan,"Fruit and Flowers III, Acanthus",1992,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Minimalism
162,3000,Donald Sultan,"Fruit and Flowers, Calla Lillies",1992,"Initialed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges and where tape is adhered to top corners.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
156,3000,Donald Sultan,"Fruit and Flowers III, Yellow Peppers",1993,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Two corners of frame are misaligned.Not examined outside of frame.,Post-War,Pop Art
164,3000,Donald Sultan,"Fruit and Flowers III, Five Pears, a Lemon, and an Egg",1994,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
166,3000,Donald Sultan,"Fruit and Flowers III, Pomegranates",1994,"Initialed, titled, dated and numbered in pencil recto ",Minor nicks and scratches to metal frame.Not examined out of frame.,Post-War,Pop Art
170,3000,Donald Sultan,"Fruit and Flowers III, Two Pears, a Lemon, and an Egg",1994,"Signed, titled, dated and numbered in pencil recto ",Slight oxidation of paper at edges.Minor nicks and scratches to metal frame.Not examined outside of frame.,Post-War,Pop Art
210,3000,Donald Sultan,Black Flowers 1,1996,"Signed by artist and numbered, recto",Very good condition,Post-War,Expressionism
374,3000,Gillian Carnegie,Untitled ,1998,"Signed ""Gillian Carnegie"" in block capitals and with the artist's signature.",No obvious signs of wear or use. ,Contemporary,Impressionism
331,3000,James Siena,Spacelock (second version),1999,[nan],Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Geometric Abstraction
46,3000,Grant Hacking,Zebras Drinking,2000,Signed Grant Hacking © and dated ‘00 (lower left),The canvas is unlined and there is minor frame abrasion along the extreme edges.Under UV: There are no signs of inpainting or previous restoration. ,Contemporary,Realism
189,3000,JOHN GIBSON,Small Ball,2003,"Signed, dated and numbered in pencil on recto",Good overall condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Realism
334,3000,James Siena,Antenna,2003,[nan],Not examined out of frame.No obvious signs of wear or damage.,Contemporary,Geometric Abstraction
198,3000,Michael Williams,Untitled (One Fourth Jew),2010,[nan],Overall very good condition.Not examined out of frame.Minor sheet undulation.,Contemporary,Conceptual 
70,3000,Takashi Murakami,Flower Ball (Dumpling),2013,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art
68,3000,Takashi Murakami,"And Then... All Things Good and Bad, All Days Fine and Rough",2014,"Signed and numbered in ink, lower right",This work is in excellent condition.,Contemporary,Pop Art
201,3000,Hayal Pozanti,Active Cell,2014,"Signed by artist and numbered, front",Very good condition,Contemporary,Geometric Abstraction
489,3000,Irene Mamiye,Rays,2010,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small chip to frame.,Contemporary,Pop Art
492,3000,Irene Mamiye,Rays,2010,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small chip to frame.,Contemporary,Pop Art
494,3000,Irene Mamiye,Rays,2010,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small chip to frame.,Contemporary,Pop Art
500,3000,Irene Mamiye,Rays,2010,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small mark to frame.,Contemporary,Pop Art
511,3000,Irene Mamiye,Rays,2010,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small mark to frame.,Contemporary,Pop Art
1,3000,Pavel Tchelitchew,Drawings of the Opera,1925,Signed and titled,Not examined out of frame.No obvious signs of wear to works.,Post-War,Surrealism
34,3000,Louis Fabien,Coupe et Fruits,1950,"Signed lower left, titled inscribed ""Coupe et Fruits"" on front plaque",This work is in excellent condition.Two minor tears to the upper right and bottom left fabric mat.,Post-War,Impressionism
47,3000,Grant Hacking,Cheetah Family (Distant Rain) ,1975,Signed © Grant Hacking (lower left),The canvas is unlined and tacked to the original stretchers. There is minor frame abrasion along the extreme edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration. ,Post-War,Realism
318,2995,Harry Callahan,"Water Reflections, Bass Rocks, Massachusetts",1971,Signed in pencil in the margin,Print is generally in excellent condition.The colors are rich and saturated with no apparent fading.,Post-War,Realism
30,2800,Patricia Treib,Pendulum,2018,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract
294,2700,Russell Young,Bardot,2007,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
306,2700,Russell Young,Bardot,2007,Signed and numbered recto,Excellent condition.,Contemporary,Pop Art
476,2600,Henry Schouten,Hens and Chicks,1875,Signed Henry Schouten on lower left,This work is in overall good condition.Small hole to canvas.Scratch to paint.,19th Century,Impressionism
339,2550,James Siena,"Taste The Houses, Twirly, Upside Down Devil",1997,Signed lower right recto,No obvious signs of wear.,Contemporary,Geometric Abstraction
446,2550,Harry Wilson Watrous,Still Life with St. Anthony Figurine,1930,Signed Watrous on bottom right.,This work is in good condition.Small chip to paint on top left corner.,Modern,Realism
414,2500,Kim Gottlieb Walker,Jimi Plays Backstage at The Shrine,1967,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
413,2500,Kim Gottlieb Walker,"Bob Marley Bare Chest at Window, Jamaica ",1975,Signed and titled bottom right corner ,Excellent condition.,Post-War,Realism
403,2500,Mary Frank,Untitled,1976,Signed Mary Frank 1976 in pencil verso ,This work is in good condition.Not examined out of frame.Back of piece not examined.,Post-War,Art Brut
84,2500,Joel Otterson,Mr. and Mrs. Monster Meat Carving Set,1994,Signed and numbered on the base,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
4,2500,Alexis Marguerite Teplin,Feverish Embarkation,2001,Signed on verso,This work is in excellent condition.,Contemporary,Abstract
19,2500,William Bailey,Stradina,2002,Signed lower right corner,"This work is in excellent condition, direct from the publisher.",Contemporary,Realism
441,2500,Hiro Yokose,Untitled #3890,2002,"Signature, date and title on verso",This work is in very good condition.No obvious signs of damage.,Contemporary,Romanticism
243,2500,Ed  Ruscha,Bow-Tie Rivet (Bow-Tie Landscapes),2003,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Realism
146,2500,Dennis Hollingsworth,Oboja Negra,2006,Signed by artist on bottom right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
219,2500,Louise Donegan,Requin Rouge,2016,Signed recto Accompanied by a certificate of authenticity,Excellent condition.,Contemporary,Pop Art
144,2500,Math Bass,Newz!,2018,Signed by artist on back,"The work is in excellent condition, direct from the publisher.",Contemporary,Geometric Abstraction
77,2500,Doris McCarthy,funzionario,2021,[nan],Excellent condition.,Contemporary,Abstract
78,2500,Doris McCarthy,rosadue,2021,"Signed, titled, dated and numbered recto ",Excellent condition.,Contemporary,Abstract
79,2500,Doris McCarthy,orizzontale,2021,"Titled, numbered, signed and dated recto",Excellent condition.,Contemporary,Abstract
385,2500,Doris McCarthy,Arancia,2021,"Titled, numbered, signed and dated recto",Excellent condition.,Contemporary,Abstract
386,2500,Doris McCarthy,lampone,2021,"Titled, numbered, signed and dated recto",Excellent condition ,Contemporary,Abstract
80,2500,Doris McCarthy,giallouno,2022,"Signed, titled, dated and numbered recto ",Excellent condition.,Contemporary,Abstract
38,2500,Julia Noffsinger Rogers,Dappled Light,1975,Signed Julia Noffsinger Rogers (lower right),The canvas is unlined and tacked to the original stretchers.There is minor frame abrasion around the extreme outer edges. Under UV: The work retains an uneven varnish and there are no signs of inpainting or previous restoration. ,Post-War,Realism
59,2500,Elsa Cornelissen,Leopard on Log,1975,Signed ECornelissen (lower right),"The work is made up of collage of oil on leather and hardening compound and wood secured to board.The leather is stable and secured to the backing board. Under UV: Although some pigments fluoresce, this is inherent to the mixed media used by the artist.",Post-War,Realism
343,2250,CARL VAN VECHTEN,Dizzy Gillespie,1955,[nan],This work is in very good condition.No obvious signs of wear or use.,Post-War,[nan]
194,2250,"Patrick Caulfield, R.A.",For John Constable,1976,Signed and numbered lower right,"Very good overall condition.Not examined out of frame.Frame with occasional minor marks, nicks and scratches.",Post-War,Pop Art
67,2250,Takashi Murakami,Jellyfish Eyes - Black 3,2004,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art
69,2250,Takashi Murakami,Jellyfish Eyes - Black 1,2004,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art
71,2250,Takashi Murakami,Jellyfish Eyes - White 1,2006,"Signed and numbered in silver ink, lower right",This work is in excellent condition.,Contemporary,Pop Art
423,2250,RENÉ LALIQUE,Drawings of a Pendant and Comb,1895,Drawing of pendant inscribed emaillé and numbered 60 and 301.Drawing of comb numbered 80 and 367.,"Overall both drawings are in good condition.Pendant drawing:A few small losses to the sheet in all four corners.Along the upper edge there are three vertical repaired tears, the longest of which measures 4 inches, and an additional repaired loss.Along the center of the left edge, there are several repaired losses which together measure 5 ½ x ½ inches and a horizontal repaired tear measuring 2 inches.Along the center of the lower edge, there is a repaired loss measuring 3 x ¼ inches. In the upper right quadrant, between two pendant designs, there is a network of interconnected repaired losses and tears, the total area of which measures 1 ½ x 2 inches.Along the right edge there is a ½ inch loss.A few flattened handling creases throughout.Comb drawing:Small losses to the sheet in the upper left and lower right corners.Along the lower edge there is a ½ inch repaired tear and a ¼ inch nick in the sheet.Along the right edge there is a ½ inch tear.Along the left edge there is a repaired tear measuring 1 ½ inches.In the upper right quadrant of the sheet, there is a C-shaped repaired tear measuring 4 ½ inches in length. Another 1 inch repaired tear in the same area.Other handling creases in the sheet throughout.",19th Century,Art Nouveau
142,2200,Charlemagne Palestine,356 CcornUuoOrphanosS two,2018,Signed by artist on front,"The work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
497,2160,Oskar Laske,Meadow Scene,1925,Signed O. Laske on bottom right,This work is in very good condition.Not examined out of frame.,Modern,Impressionism
186,2000,Barbara Morgan,"Martha Graham,  Ekstasis",1935,"Embossed signature, title, and date in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There is a very faint handling crease visible only in high raking light at the center right. The work is offered unframed.",Modern,Performance Art
188,2000,Barbara Morgan,"Martha Graham, Satyric Festival Song",1940,"Embossed signature, date, and annotation ‘Martha Graham’ in pencil in the margin.","This print, on paper with an eggshell surface, is in generally excellent condition. There are adhesive remnants on the mount. On the reverse of the mount, the following is written in pencil in an unidentified hand: ‘Photographed by Barbara Morgan / Martha Graham, Satyric Festival Song 1940.'",Modern,Performance Art
435,2000,Ruth Bernhard,Shell and Driftwood,1943,Signed and titled in pencil on the reverse.,"This print is in generally excellent condition. Under close examination, there are some deposits of original retouching, a few tiny impressions, and 2"" faint, circular disruptions near the center.The reverse is faintly soiled. There are abrasions and hinge remnants, suggesting this print was previously affixed to a secondary mount.'Property of Ginny Williams' is written in pencil by Ginny Williams on the reverse. '1200-' and 'C.170,10' are written in pencil in an unidentified hand. 'Printed in / Book Ruth Bernhard / The Ginny Williams Collection' is written in pencil by Ginny Williams on a Post-It note affixed to the reverse.",Modern,Realism
171,2000,Richard Bernstein,Candy Darling,1968,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
132,2000,Henry Moore,"Les Poètes, Four Standing Figures",1973,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract
134,2000,Henry Moore,"Les Poètes, Three Sculptural Forms",1973,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract
135,2000,Henry Moore,"Les Poètes, Reclining Woman",1973,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract
136,2000,Henry Moore,"Les Poètes, Creole Lady",1973,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract
137,2000,Henry Moore,"Les Poètes, Two Heads",1973,Initialed on bottom right,No obvious signs of damage or wear.,Post-War,Abstract
133,2000,Henry Moore,"Les Poètes, Ideas from a Sketchbook",1976,Initialed bottom right,No obvious signs of damage or wear.,Post-War,Abstract
330,2000,Jutta Koether,Untitled,1992,Signed and dated lower right rectoInscribed verso,No obvious signs of wear.,Contemporary,Expressionism
373,2000,Dawn Mellor,Untitled ,1998,"Signed ""Dawn Mellor"" in block capitals and with the artist's signature.",Minor losses to paint layers on edges.Water damage on verso. ,Contemporary,Expressionism
442,2000,Hiro Yokose,Untitled #3972,2003,"Signature, date and title on verso",This work is in good condition.Small chip to frame on upper left.Inconsistencies on wax surface on top center.,Contemporary,Romanticism
378,2000,Matthew Brannon,Sick Whore 2006,2006,[nan],[nan],Contemporary,Conceptual 
380,2000,Matthew Brannon,How It All Ends 2006,2006,[nan],[nan],Contemporary,Conceptual 
32,2000,Jason Bereswill,Study for Saline Rocks,2008,[nan],Mounted to a new mat ,Contemporary,Realism
372,2000,Sophie Von Hellermann,Untitled ,2010,"Signed ""Sophie von Hellermann"" in block capitals and with the artist's signature.",No obvious signs of wear or use. ,Contemporary,Expressionism
119,2000,John Fischer,Untitled,1985,Signed on the verso in ink,Pinholes and tears at corners.,Post-War,Expressionism
74,1895,George Pearse Ennis,River Scene,1925,"Signed ""Ennis"" at lower right.",Minor fading.Frame shows some wear.,Modern,Impressionism
399,1895,Anders Knutsson,The Swimmers ,1980,[nan],Not examined out of frame. Tenting and buckling inherent in artist's chosen working materials.,Post-War,Abstract
480,1875,William Lee Hankey,Coombe Village,1925,Signed Wm Lee-Hankey on bottom right,This work is in very good condition.Small nicks to frame.Not examined out of frame.,Modern,Impressionism
214,1840,Hayal Pozanti,A Sacred Canopy,2014,"Signed by artist and numbered, recto",Very good condition,Contemporary,Geometric Abstraction
110,1800,Ivan Albright,Follow Me,1948,Signed and titled in pencil in lower margin,Light spotting to print margins.Small scuffs to frame. Artwork not examined outside of frame. ,Modern,Realism
401,1595,Mary Frank,Mating Gnus ,1985,"Signed “Mary Frank” lower right, inscribed in marker on the backing “33600J” upper right",Not examined out of frame.Abrasion to plexiglass.,Post-War,Realism
174,1500,Richard Bernstein,Mick Jagger Newspaper,1969,The Estate of Richard Bernstein stamp on verso,The work is in excellent condition.,Contemporary,Pop Art
604,1500,Charles Hawes,Miss Kim,1970,Charles Hawes inscribed at lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor marks and scuffs to frame finish.,Post-War,Realism
523,1500,Richard Haas,New York Central Building,1974,Signed Richard Haas in pencil on lower right recto,This work is in good condition.Artwork not examined outside of frame.Minor rippling and discoloration to paper edges.Minor wear to frame finish.,Post-War,Traditional
567,1500,Eugene Charlton-Rafalsky,Untitled Landscape,1974,"Signed and dated in pencil, lower right",This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Post-War,Expressionism
629,1500,Frederick Wardy,Untitled,1974,Frederick Wardy 74 in ink on bottom right recto.,This work is in good condition.Artwork not examined outside of frame.Minor discoloration at paper edges.No other obvious signs of wear to artwork.,Post-War,Minimalism
655,1500,Frederick Wardy,Untitled,1974,Frederick Wardy 74 in ink at bottom right recto.,This work is in good condition.Artwork not examined outside of frame.Minor discoloration at paper edges.Minor rippling of paper.,Post-War,Minimalism
588,1500,Angelo Ippolito,An American Collage X,1976,Signed Ippolito 76 in pencil at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Not obvious wear to artwork.Minor wear to frame surface.,Post-War,Surrealism
490,1500,Mel Pekarsky,Blue Hills,1977,"Signed and dated lower right, MP '77",This work is in good condition.Artwork not examined outside of frame.Two small holes at top right and left corners.,Post-War,Expressionism
535,1500,John Andre Gundelfinger,Untitled No. 4,1977,Signed in paint lower right corner recto,This work is in very good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Post-War,Impressionism
578,1500,Susan Wilmarth,Untitled,1977,[nan],This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Abstract
600,1500,John Andre Gundelfinger,Untitled No. 16,1977,[nan],This work is in good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Post-War,Impressionism
623,1500,Jane Rosenberg,Upright Curves Number 2,1977,Signed and dated in pencil lower right recto.,This work is in very good condition.Discoloration to edges of paper.Not examined out of frame.,Post-War,Minimalism
680,1500,Jane Rosenberg,Upright Curves Number 3,1977,Signed and dated in pencil lower right recto,This work is in very good condition.Discoloration to edges of paper.Not examined out of frame.,Post-War,Minimalism
705,1500,Bob Nugent,Letter Folio,1977,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
508,1500,Sandy Walker,Ocean Series I,1978,Signed SW 78 in pencil on lower center recto,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper.Minimal surface wear to frame.,Post-War,Expressionism
572,1500,Ray Ciarrocchi,"Cove at Bremen, Maine",1978,[nan],This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Impressionism
601,1500,Bernard Chaet,Untitled Landscape #22,1978,Artist signature and date lower right recto,This work is in very good condition.Rippling to paper.Not examined out of frame.,Post-War,Expressionism
693,1500,Ann Turnley,Fancy Wall,1978,[nan],This work is in very good condition.Artwork not inspected out of frame.Dent and light wear to frame on bottom right corner.,Post-War,Abstract
484,1500,Sandy Walker,Beach Pastel,1979,Signed SW 79 in pencil on bottom center recto,Artwork not examined outside of frame.No obvious signs of wear to artwork.Two dents on white mat at bottom left.,Post-War,Expressionism
485,1500,Alan Turner,Autumn Covering Summer,1979,"Signed and dated in pencil, lower right",Artwork not examined outside of frame.Small pinholes in all four corners.Yellowing to paper.,Post-War,Expressionism
574,1500,Terence LaNoue,Deccan Suite #15,1979,Signed in pastel recto,This work is in very good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Post-War,Abstract
478,1500,Paul Narkiewicz,Nursery,1980,[nan],Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
614,1500,Michele Boll,Hess,1980,Signed and dated lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Realism
529,1500,Billy Sullivan,Daisy On Carpet,1981,Inscribed Billy Sullivan in pastel lower right corner recto,This work is in very good condition.Not examined out of frame.Sheet undulation due to artist's chosen working materials.,Post-War,Realism
558,1500,Sally Amster,The Cove and Beyond,1981,Artist signature and date lower right recto,"No visible signs of wear to artwork.Not examined out of frame.Frame is loose, has been taped for adherence.Chips to finish on wood frame.",Post-War,Expressionism
561,1500,Joseph A. Salvatore,Book Of Jeremiah,1981,[nan],This work is in good condition.Not examined out of frame.Mark at bottom right corner of frame.,Post-War,Conceptual 
479,1500,Diane Sophrin,View Of Living Room,1983,[nan],Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Realism
543,1500,Ella Delyanis,"Study, Storm Over Bell Pond",1983,Bottom right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious sign of wear to artwork.,[nan],[nan]
526,1500,David Dewey,"Morning Shadows, Marshall Point",1984,[nan],This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Contemporary,Impressionism
528,1500,Mary Armstrong,Tide Pool Shuffle,1984,Signed lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
542,1500,Marilyn Duke,September,1984,[nan],Not examined out of frame.One small surface mark and one minor indentation to frame.Faint surface marks at top right corner.No visible signs of wear to artwork.,Post-War,Expressionism
581,1500,Barbara Apel,Landscape No 8,1984,Apel inscribed at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Minor scuffs and wear to frame finish.,Post-War,Expressionism
532,1500,Mary Jo Vath,Wave,1985,Artist name inscribed verso,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Nicks and chips to frame.,Post-War,Expressionism
469,1500,Willie White,Untitled,1986,[nan],Not examined outside of frame. No obvious defects to artwork.,Post-War,Expressionism
520,1500,Billy Sullivan,Palisades #4,1986,Inscribed Palisades #4 Bill Sullivan in pencil recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Realism
510,1500,Donald Sanders,Night Venture,1987,[nan],Artwork not examined outside of frame.No obvious signs of wear to artwork.Some marks and scuffs on lower right corner of frame.Minor surface wear to frame.,Post-War,Expressionism
710,1500,Max Miller,Untitled NBR 60,1987,[nan],This work is in good condition.Artwork not inspected out of frame.Wear to frame in areas.Pinholes to corners of artwork.,Post-War,Abstract
531,1500,Alberto Morrocco,"Berthed Boats, Camogli",1988,Artist signature and date lower left recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Realism
560,1500,Susan Laufer,Lifeline Drawing Series #28,1988,Artist signature bottom right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Abstract
646,1500,David Storey,Living With The Lights On,1988,David Storey inscribed on reverse.,This work is in overall very good condition.No obvious signs of wear to artwork.,Post-War,Surrealism
674,1500,Bruce Mclean,Misdirected Concerns,1988,Bruce Mclean 1988 inscribed at bottom right recto,This work is in very good condition.Artwork not examined outside of frame.Some rippling of paper consistent with process.No other obvious signs of wear to artwork.,Post-War,Expressionism
463,1500,Laura Newman,Biomorphic Furniture ,1989,[nan],Not examined out of frame. Sheet undulation. Numerical inscriptions in pencil at back of frame.,Post-War,Abstract
583,1500,George Atkinson,North Of Pawnee,1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Impressionism
589,1500,Giora Dublon,Judean Hills,1989,Signed lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
595,1500,Nancy Brett,Roaring River 73,1989,[nan],This work is in very good condition.Artwork not examined outside of frame.Small pin holes at corners from previous hanging.No other signs of wear to artwork.,Post-War,Expressionism
608,1500,Stephen Lack,Red Citroen,1989,Signed and dated in pigment recto,This work is in good condition.Not examined out of frame.Minor sheet undulation.Small nicks to frame.,Post-War,Expressionism
609,1500,Peter Schroth,Landscape Study (Pines),1989,Inscribed Peter Schroth 9/89 in pencil lower right corner recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Surrealism
610,1500,Judy Ledgerwood,"Untitled, Evening Drawing",1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Abstract
611,1500,Judy Ledgerwood,"Untitled, Terra Cotta Red",1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Abstract
703,1500,Christine Olsavsky,Humid Hearts,1989,[nan],"This work is in good condition.Artwork not inspected out of frame.Marks, paint loss and dents to frame.",Post-War,Abstract
530,1500,James Romberger,Third Street Garden,1990,Signed JAMES lower right recto,Not examined out of frame.Adhesive residue marks throughout plexiglass.Minor soiling and marks to paper.Minor sheet undulation.Blemish to frame at bottom right side.,Post-War,Realism
579,1500,John Berens,Trees and Darkness,1990,[nan],This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Expressionism
584,1500,John Berens,Romantic Landscape,1990,[nan],This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Expressionism
587,1500,Keith Jacobshagen,Evening XXIII,1990,Signed K JACOBSHAGEN in ink at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.,Post-War,Expressionism
605,1500,Alex Stohlberg,Night Barn,1990,Signed T.H.K recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Minimalism
672,1500,Michael Tetherow,Early Summer Drawing,1990,M.T. 90 in pencil on bottom center right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Scuff on top center of wood frame.,Post-War,Expressionism
498,1500,Joseph Sweeney,University Of PA Boathouse,1993,[nan],This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Smudges to mat.,Post-War,Realism
332,1500,Enoc Perez,Untitled,2005,"Signed, dated and inscribed verso",No obvious signs of wear.,Contemporary,Realism
619,1500,Dan Walsh,Viewing Suite II,2008,Signed and dated in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Minimalism
625,1500,Karim Noureldin,"Untitled, 2000",2008,[nan],This work is in good condition.Not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Minimalism
626,1500,Dan Walsh,Viewing Suite IV,2008,Signed and dated in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Scratches and nicks to frame.,Contemporary,Abstract
706,1500,Mark Wilson,Untitled,2008,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
713,1500,Dan Walsh,Viewing Suite III,2008,Signed and dated in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
565,1500,Richard Garrison,Untitled (Yellow),2009,[nan],This work is in very good condition.Not examined out of frame.No visible signs of wear to artwork.,Contemporary,Conceptual 
338,1500,Sarah Braman,Indian Summer 8 pm,2010,Signed and dated verso,No obvious signs of wear.,Contemporary,Abstract
649,1500,Richard Woods,Woodblock Inlays 3 of 4,2011,Artist signature and edition in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
660,1500,RICHARD WOODS,Woodblock Inlays 4 Of 4,2011,Artist signature and edition in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
664,1500,Chuck Webster,Untitled,2011,[nan],This work is in very good condition.Some yellowing to paper at top of piece.Not examined out of frame.,Contemporary,Abstract
676,1500,Chuck Webster,Untitled,2011,[nan],This work is in very good condition.No obvious signs of wear to art.Not examined out of frame.,Contemporary,Abstract
685,1500,Richard Woods,Woodblock Inlays 1 of 4,2011,Artist signature and edition in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
